,RPRTBL_EVENT_SERL,EVENT_DATE,EVENT_SEVTY_C,FY,EVENT_CLASSN_C,SHIP_PER_INJ_I,INVLVD_SHIP_UIC,VESL_NAME_A,VESL_TYPE_A,INVLVD_ACFT_SERL,ACFT_MODEL,COUNT_ACFT_I,EMBRKD_ASHR,INVLVD_PER_SERL,AGE,INJ_CLASSN_C,PAY_GRADE,RANK_RATE,Rank Description,RATEG,Full RATEG Description,Full RATEG Division,RPRTG_UIC,EVENT_SHORT_NARR,INCDT_OCCURN_SERL,INCDT_PHASE_OPS_C,INCDT_TYPE_C,INCDT_PHASE_OPS,INCDT_TYPE,SEX,INJ_CLASSN,Error,Deck?,Fault,High/Low,Event Description,Continue,anomaly,(Y/S) drop incident due to lack of information for interpretation,Human Involved?
10,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93976,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190217,520,CO,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WIRES,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
11,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93977,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190217,520,CO,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WIRES,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
12,100278,7/26/2007 12:00:00 AM,C,2007.0,1C,N,N21297,ABRAHAM LINCOLN,CVN,106971,E002C,Y,E,93978,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09465,DUR. ARRESTING LNDG THE CATAPULT TOW LINK WAS DOWN & IMPACTED #4 WIRE.,190217,520,CO,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WIRES,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
13,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94143,26.0,G,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
14,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94143,26.0,G,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
15,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94143,26.0,G,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
16,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94143,26.0,G,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
17,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94144,36.0,G,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
18,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94144,36.0,G,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
19,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94144,36.0,G,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
20,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94144,36.0,G,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,,,,Low,Destruction,,,,No
21,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94145,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
22,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94145,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
23,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94145,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
24,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94145,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
25,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94146,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
26,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94146,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
27,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94146,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
28,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94146,,C,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,PERMANENT PARTIAL DISABILITY,,,,High,Destruction,,,,No
29,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94147,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
30,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94147,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
31,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94147,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
32,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94147,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
33,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94148,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
34,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94148,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
35,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94148,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
36,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94148,,D,E03,AN,Airman,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
37,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94149,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
38,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94149,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
39,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94149,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
40,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94149,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
41,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94150,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190300,530,G3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,DUE TO LOSS OF FLIGHT CONTROL,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
42,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94150,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190301,530,B3,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,WATER; UNCONTROLLED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
43,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94150,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190302,530,XB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,PERSONNEL INJURED,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
44,100316,1/29/2005 12:00:00 AM,A,2005.0,1A,Y,N03363,KITTY HAWK,CV,107019,F018F,Y,E,94150,,D,E04,PO3,Petty Officer 3rd Class,,Unknown,Unknown,N09717,ACFT DEPARTED FLT DECK. AIRCREW EJECTED SAFELY. ACFT LOST AT SEA.     ,190303,530,MB,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,THROUGH CARRIER ARRESTING GEAR; HOOK SKIP,M,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
45,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94509,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190611,A1Z,CY,NO FURTHER BREAKDOWN,PERSONNEL,M,NO INJURY OR ILLNESS,,,,Low,Human Damage,Appendage Blow,,,Yes
46,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94509,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190612,A1Z,XC,NO FURTHER BREAKDOWN,PERSONNEL FELL,M,NO INJURY OR ILLNESS,,,,Low,Human Damage,Appendage Blow,,,Yes
47,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94510,,H,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190611,A1Z,CY,NO FURTHER BREAKDOWN,PERSONNEL,M,NO INJURY OR ILLNESS,,,,Low,Human Damage,Appendage Blow,,,Yes
48,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94510,,H,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190612,A1Z,XC,NO FURTHER BREAKDOWN,PERSONNEL FELL,M,NO INJURY OR ILLNESS,,,,Low,Human Damage,Appendage Blow,,,Yes
49,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94511,31.0,A,,,Unknown,,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190611,A1Z,CY,NO FURTHER BREAKDOWN,PERSONNEL,M,FATAL,,,,High,Human Damage,Appendage Blow,,,Yes
50,100471,10/4/2008 12:00:00 AM,A,2009.0,2A,Y,N03369,DWIGHT D EISENHOWER,CVN,107206,F018F,Y,E,94511,31.0,A,,,Unknown,,Unknown,Unknown,N09718,ACFT STRUCK FLIGHT DECK DIRECTOR DUR CAT STROKE RESULTING IN FATALITY.,190612,A1Z,XC,NO FURTHER BREAKDOWN,PERSONNEL FELL,M,FATAL,,,,High,Human Damage,Appendage Blow,,,Yes
51,100521,11/11/2008 12:00:00 AM,C,2009.0,1C,,,,,107260,F018E,Y,E,94674,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N63925,STBD AFT INBOARD MLG DOOR DAMAGED BY APU PUMP CAP ASSEMBLY.           ,190723,41Z,PH,NO FURTHER BREAKDOWN,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
52,100521,11/11/2008 12:00:00 AM,C,2009.0,1C,,,,,107260,F018E,Y,E,94674,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N63925,STBD AFT INBOARD MLG DOOR DAMAGED BY APU PUMP CAP ASSEMBLY.           ,190721,4ZZ,L3,NO FURTHER BREAKDOWN,RETRACTION; INTENTIONAL,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
53,100521,11/11/2008 12:00:00 AM,C,2009.0,1C,,,,,107260,F018E,Y,E,94674,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N63925,STBD AFT INBOARD MLG DOOR DAMAGED BY APU PUMP CAP ASSEMBLY.           ,190722,3ZZ,P4,NO FURTHER BREAKDOWN,FUEL/OIL,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
