,RPRTBL_EVENT_SERL,EVENT_DATE,EVENT_SEVTY_C,FY,EVENT_CLASSN_C,SHIP_PER_INJ_I,INVLVD_SHIP_UIC,VESL_NAME_A,VESL_TYPE_A,INVLVD_ACFT_SERL,ACFT_MODEL,COUNT_ACFT_I,EMBRKD_ASHR,INVLVD_PER_SERL,AGE,INJ_CLASSN_C,PAY_GRADE,RANK_RATE,RATEG,RPRTG_UIC,EVENT_SHORT_NARR,INCDT_OCCURN_SERL,INCDT_PHASE_OPS_C,INCDT_TYPE_C,INCDT_PHASE_OPS,INCDT_TYPE,SEX,INJ_CLASSN,Deck?
10,47638,2/22/1998 12:00:00 AM,C,1998,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21854,44.0,H,O06,CAPT,,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85484,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,Yes
11,47638,2/22/1998 12:00:00 AM,C,1998,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21854,44.0,H,O06,CAPT,,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85485,520,L1,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,COLLAPSE,M,NO INJURY OR ILLNESS,
12,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51880,25.0,H,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154156,335,B3,AIRCRAFT LAUNCHED FROM CATAPULT,WATER; UNCONTROLLED,M,NO INJURY OR ILLNESS,
13,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51880,25.0,H,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154157,335,XB,AIRCRAFT LAUNCHED FROM CATAPULT,PERSONNEL INJURED,M,NO INJURY OR ILLNESS,
14,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51880,25.0,H,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154158,335,G6,AIRCRAFT LAUNCHED FROM CATAPULT,OTHER,M,NO INJURY OR ILLNESS,
15,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51881,28.0,G,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154156,335,B3,AIRCRAFT LAUNCHED FROM CATAPULT,WATER; UNCONTROLLED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,
16,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51881,28.0,G,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154157,335,XB,AIRCRAFT LAUNCHED FROM CATAPULT,PERSONNEL INJURED,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,
17,82067,8/31/1997 12:00:00 AM,A,1997,1A,N,N03362,INDEPENDENCE,CV,87272,F014A,Y,E,51881,28.0,G,O03,LT,,N09678,ACFT CRASHED INTO WATER AFTER NIGHT CAT SHOT.  ACRW EJECTED SAFELY.   ,154158,335,G6,AIRCRAFT LAUNCHED FROM CATAPULT,OTHER,M,FIRST AID TREATMENT ONLY/FIRST AID CASE,
18,80621,5/18/1997 12:00:00 AM,C,1997,2C,N,N03362,INDEPENDENCE,CV,85731,F014A,Y,E,49505,33.0,H,O04,LCDR,,N09678,ACFT INADVERTENTLY JETTISONED PORT EXTERNAL FUEL TANK DUR ORD JETTISON,151543,442,P4,STRAFING RUN,FUEL/OIL,M,NO INJURY OR ILLNESS,
19,80621,5/18/1997 12:00:00 AM,C,1997,2C,N,N03362,INDEPENDENCE,CV,85731,F014A,Y,E,49505,33.0,H,O04,LCDR,,N09678,ACFT INADVERTENTLY JETTISONED PORT EXTERNAL FUEL TANK DUR ORD JETTISON,151544,442,XM,STRAFING RUN,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,M,NO INJURY OR ILLNESS,
20,80621,5/18/1997 12:00:00 AM,C,1997,2C,N,N03362,INDEPENDENCE,CV,85731,F014A,Y,E,49506,,H,,,,N09678,ACFT INADVERTENTLY JETTISONED PORT EXTERNAL FUEL TANK DUR ORD JETTISON,151543,442,P4,STRAFING RUN,FUEL/OIL,,NO INJURY OR ILLNESS,
21,80621,5/18/1997 12:00:00 AM,C,1997,2C,N,N03362,INDEPENDENCE,CV,85731,F014A,Y,E,49506,,H,,,,N09678,ACFT INADVERTENTLY JETTISONED PORT EXTERNAL FUEL TANK DUR ORD JETTISON,151544,442,XM,STRAFING RUN,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,,NO INJURY OR ILLNESS,
22,47638,2/22/1998 12:00:00 AM,C,1998,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21853,29.0,H,O03,LT,,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85484,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,Yes
23,47638,2/22/1998 12:00:00 AM,C,1998,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21853,29.0,H,O03,LT,,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85485,520,L1,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,COLLAPSE,M,NO INJURY OR ILLNESS,
24,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142579,325,I2,AIRCRAFT LAUNCHED FROM CATAPULT,CARRIER OR SHIP DECK,M,NO INJURY OR ILLNESS,Yes
25,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142580,325,XB,AIRCRAFT LAUNCHED FROM CATAPULT,PERSONNEL INJURED,M,NO INJURY OR ILLNESS,
26,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142581,325,XM,AIRCRAFT LAUNCHED FROM CATAPULT,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,M,NO INJURY OR ILLNESS,
27,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142582,325,L1,AIRCRAFT LAUNCHED FROM CATAPULT,COLLAPSE,M,NO INJURY OR ILLNESS,
28,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142583,527,XV,FIELD ARRESTING GEAR/WIRE,AIRCRAFT LANDED USING EXTERNAL TANKS VICE LANDING GEAR,M,NO INJURY OR ILLNESS,Yes
29,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142584,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,Yes
30,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40137,29.0,H,O03,LT,,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142585,527,XM,FIELD ARRESTING GEAR/WIRE,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,M,NO INJURY OR ILLNESS,
31,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142579,325,I2,AIRCRAFT LAUNCHED FROM CATAPULT,CARRIER OR SHIP DECK,M,ONE OR MORE LOST WORK DAYS,Yes
32,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142580,325,XB,AIRCRAFT LAUNCHED FROM CATAPULT,PERSONNEL INJURED,M,ONE OR MORE LOST WORK DAYS,
33,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142581,325,XM,AIRCRAFT LAUNCHED FROM CATAPULT,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,M,ONE OR MORE LOST WORK DAYS,
34,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142582,325,L1,AIRCRAFT LAUNCHED FROM CATAPULT,COLLAPSE,M,ONE OR MORE LOST WORK DAYS,
35,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142583,527,XV,FIELD ARRESTING GEAR/WIRE,AIRCRAFT LANDED USING EXTERNAL TANKS VICE LANDING GEAR,M,ONE OR MORE LOST WORK DAYS,Yes
36,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142584,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,ONE OR MORE LOST WORK DAYS,Yes
37,76431,4/2/1997 12:00:00 AM,A,1997,1A,Y,N03362,INDEPENDENCE,CV,81117,F018C,Y,E,40138,21.0,D,E03,AN,AB,N65185,"PORT MLG COLLAPSED DURING CATAPULT LAUNCH, INJURING DECK OPERATOR.    ",142585,527,XM,FIELD ARRESTING GEAR/WIRE,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,M,ONE OR MORE LOST WORK DAYS,
38,47945,4/27/1998 12:00:00 AM,A,1998,1A,N,N03362,INDEPENDENCE,CV,51608,F018C,Y,E,21999,,D,O04,LCDR,,N09076,AIRCRAFT CRASHED INTO WATER FOLLOWING PILOT EJECTION DURING FCF.      ,86178,411,B3,TEST FLIGHT,WATER; UNCONTROLLED,,ONE OR MORE LOST WORK DAYS,
39,47945,4/27/1998 12:00:00 AM,A,1998,1A,N,N03362,INDEPENDENCE,CV,51608,F018C,Y,E,21999,,D,O04,LCDR,,N09076,AIRCRAFT CRASHED INTO WATER FOLLOWING PILOT EJECTION DURING FCF.      ,86179,411,G6,TEST FLIGHT,OTHER,,ONE OR MORE LOST WORK DAYS,
40,47945,4/27/1998 12:00:00 AM,A,1998,1A,N,N03362,INDEPENDENCE,CV,51608,F018C,Y,E,21999,,D,O04,LCDR,,N09076,AIRCRAFT CRASHED INTO WATER FOLLOWING PILOT EJECTION DURING FCF.      ,86180,411,XB,TEST FLIGHT,PERSONNEL INJURED,,ONE OR MORE LOST WORK DAYS,
41,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68802,27.0,H,O03,LT,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,M,NO INJURY OR ILLNESS,Yes
42,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68802,27.0,H,O03,LT,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,M,NO INJURY OR ILLNESS,
43,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68803,28.0,H,O03,LT,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,M,NO INJURY OR ILLNESS,Yes
44,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68803,28.0,H,O03,LT,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,M,NO INJURY OR ILLNESS,
45,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68804,23.0,H,E05,PO2,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,M,NO INJURY OR ILLNESS,Yes
46,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68804,23.0,H,E05,PO2,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,M,NO INJURY OR ILLNESS,
47,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68805,23.0,H,E03,AN,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,M,NO INJURY OR ILLNESS,Yes
48,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68805,23.0,H,E03,AN,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,M,NO INJURY OR ILLNESS,
49,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68806,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
50,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68806,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
51,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68807,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
52,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68807,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
53,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68808,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
54,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68808,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
55,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68809,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
56,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68809,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
57,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68810,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
58,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68810,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
59,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68811,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
60,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68811,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
61,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68812,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
62,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68812,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
63,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68813,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169225,54N,A3,CASE III; TACAN/CCA TO LANDING,COLLISION BETWEEN AN AIRBORNE AIRCRAFT AND ONE ON GROUND/FLIGHT DECK,,NO INJURY OR ILLNESS,Yes
64,89579,6/7/2005 12:00:00 AM,C,2005,1C,N,N03363,KITTY HAWK,CV,95156,C002A,Y,E,68813,,H,,,,N39491,ACFT DRIFTED RIGHT FOLLOWNG BOLTER & STRUCK STATIC PARKED ACFT ON CAT2,169226,54N,Q5,CASE III; TACAN/CCA TO LANDING,LOSS OF DIRECTIONAL CONTROL,,NO INJURY OR ILLNESS,
